Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
1080000,0.7292618,9524.766019328781,106.69565217391305,1650.9564,9558.720723939978,1341018.8,0.13179468,0.0002677471
1090000,0.72254604,9577.275162294036,101.69473684210526,1670.1545,9585.986911296844,1520197.6,0.13460293,0.00026744933
1100000,0.72262466,10706.294704997932,108.28571428571429,1709.291,10706.294714707594,1723313.6,0.13358913,0.00026715177
1110000,0.74275184,8892.973372859124,107.7032967032967,1693.3145,8847.295601442125,1228602.2,0.13011795,0.00026685122
1120000,0.74931526,10931.645209203793,123.17721518987342,1745.1782,10957.549335575104,1303695.2,0.13444573,0.00026655142
1130000,0.7523847,8734.607629065873,105.2258064516129,1739.1675,8734.607604816396,1217685.4,0.12874001,0.00026625185
1140000,0.7358869,7832.193101662177,90.41666666666667,1759.5242,7832.193148930867,1368579.5,0.13387813,0.00026595205
1150000,0.7357096,9537.977041949931,101.3298969072165,1788.1189,9631.437964359919,1542289.1,0.1379712,0.0002656525
1160000,0.72336334,9737.07548606524,104.17204301075269,1807.0813,9639.507997634562,1528973.0,0.13434923,0.00026535318
1170000,0.7129101,9774.616824669412,97.63366336633663,1827.8439,9712.078070220947,1669248.1,0.13301073,0.0002650494
1180000,0.73242503,9230.416258423886,103.79787234042553,1847.6213,9301.974914068926,1377540.0,0.13237013,0.0002647481
1190000,0.73464674,8981.490434308282,110.95454545454545,1849.687,8981.490374413404,1185390.2,0.13054655,0.00026445225
1200000,0.73178273,9948.633042222851,107.62637362637362,1885.1517,9948.633035848428,1428818.6,0.12630212,0.0002641508
1210000,0.72815037,10559.636275125074,107.3076923076923,1908.1193,10559.636234828404,1650583.5,0.1316007,0.00026384974
1220000,0.7261851,9338.419815776275,100.52577319587628,1910.1304,9338.419831816684,1501373.5,0.12663859,0.00026354985
1230000,0.7237331,11635.091446146907,117.95180722891567,1945.8044,11635.091469546398,1622023.1,0.1333698,0.0002632522
1240000,0.71464026,10668.479715315143,109.52808988764045,1971.1029,10668.47971995493,1580848.9,0.13736488,0.00026295008
1250000,0.70879185,9795.025905476863,101.91752577319588,1973.7377,9755.423482179642,1624638.4,0.13742696,0.00026264595
1260000,0.68793416,11585.040152079837,112.27906976744185,2024.507,11608.164471418007,1749353.4,0.13483207,0.00026234714
1270000,0.68140745,11716.15630277683,113.86206896551724,2048.656,11635.985242355702,1738763.1,0.13765563,0.00026204792
1280000,0.67107785,10398.90111339214,99.84693877551021,2035.1268,10441.306899245905,1830467.4,0.13198593,0.00026175042
1290000,0.6912784,10493.324612727729,104.03225806451613,2059.075,10535.47122947206,1650171.2,0.13194841,0.0002614528
1300000,0.69577515,10277.660324430817,115.30588235294118,2101.8352,10277.660277781766,1407565.5,0.13111244,0.00026114922
1310000,0.6929989,10950.241629645403,115.4235294117647,2117.9236,10950.241679741355,1449428.5,0.12667845,0.00026084675
1320000,0.68120784,11186.470650111305,109.35555555555555,2135.3594,11131.272070038185,1717020.2,0.1321524,0.00026054773
1330000,0.6810878,10600.915157816145,107.42222222222222,2147.1572,10661.335269047664,1599428.8,0.13346356,0.0002602516
1340000,0.6755992,9843.032266456634,106.23913043478261,2169.3962,9843.032225401505,1472910.6,0.13448007,0.0002599518
1350000,0.67953295,10592.90879677356,112.36781609195403,2201.29,10592.908758755388,1426918.8,0.13551503,0.0002596513
1360000,0.66829586,11223.43023577815,112.11363636363636,2217.7566,11223.430244792591,1657497.4,0.12755401,0.0002593542
1370000,0.66824883,10405.682039977512,107.20879120879121,2225.811,10405.681964245472,1617758.6,0.13731387,0.000259053
1380000,0.6819785,12609.846971374483,125.58974358974359,2272.1416,12609.846938891289,1674743.9,0.1389319,0.00025875334
1390000,0.6810241,12380.915555659547,118.25301204819277,2301.6318,12380.915550783457,1755462.5,0.13419464,0.00025845278
1400000,0.6891292,12287.221615184972,121.14814814814815,2304.1404,12287.221690048405,1565399.1,0.133057,0.0002581521
1410000,0.6853458,11557.665809713764,120.30864197530865,2332.888,11557.665869536224,1489863.4,0.12918778,0.00025784966
1420000,0.6874657,11892.776570997456,111.31818181818181,2343.5588,11892.776631268587,1822682.0,0.1389502,0.00025754698
1430000,0.69448507,11642.267937438828,116.28571428571429,2359.2542,11642.267939885458,1585507.5,0.1341259,0.00025724818
1440000,0.68579304,12071.3102136453,116.16666666666667,2374.5464,12071.31014206296,1683746.6,0.1343197,0.00025694925
1450000,0.6861579,10980.199046399282,107.23913043478261,2393.915,10980.199028927347,1777507.8,0.13583659,0.0002566491
1460000,0.683108,11135.535885726584,112.26436781609195,2416.863,11135.535804310064,1590990.4,0.13367759,0.00025634796
1470000,0.68374467,10701.775842490728,106.08695652173913,2434.9792,10701.775812231976,1706025.9,0.13069004,0.000256049
1480000,0.67923236,11700.804966001626,118.83132530120481,2454.604,11824.502036210968,1505174.1,0.1321345,0.00025574988
1490000,0.68193066,12662.041408444062,123.74358974358974,2504.5112,12521.479476638988,1632183.6,0.13665074,0.0002554489
1500000,0.6681097,12008.395448550056,116.02352941176471,2493.4119,12008.39548662971,1725686.5,0.1313206,0.0002551466
1510000,0.6631677,10055.991784433087,107.04395604395604,2479.653,10055.991717914958,1515285.8,0.13963789,0.00025484612
1520000,0.66864085,12464.223274487307,130.02666666666667,2536.814,12464.22323059082,1438192.2,0.13256559,0.00025454577
1530000,0.6696433,11968.972538791126,124.53164556962025,2558.1428,11968.97257503075,1463597.8,0.13281614,0.00025424827
1540000,0.6700846,11797.26120840907,123.2625,2579.9102,11774.339666245858,1430174.0,0.12834823,0.00025394952
1550000,0.6694772,12434.369775722553,126.14285714285714,2613.6238,12449.41722331903,1464591.2,0.13452263,0.00025365019
1560000,0.6667897,10887.66073525788,118.7439024390244,2574.1929,10887.660789489746,1376159.0,0.13474423,0.00025335336
1570000,0.6662629,10798.088937574557,110.73033707865169,2607.7183,10798.08890259132,1515672.4,0.13795839,0.0002530511
1580000,0.6691165,10592.282498671551,106.01086956521739,2592.7935,10592.282544094583,1595485.8,0.13081165,0.00025274866
1590000,0.6751528,11526.249050184228,112.44827586206897,2653.9802,11526.249066583041,1619029.0,0.13266127,0.00025245032
1600000,0.6665969,13176.07435900569,122.9125,2685.9983,13176.074455738068,1737700.0,0.12775522,0.0002521481
1610000,0.6690694,11512.788469854608,118.49397590361446,2696.2847,11527.731666006694,1457760.6,0.13467298,0.0002518458
1620000,0.6680913,11445.469684922293,109.4494382022472,2702.8235,11432.602843051487,1729896.0,0.13508952,0.00025154746
1630000,0.6727061,12550.855768412352,121.85,2735.7288,12550.85572681427,1654672.4,0.13733785,0.0002512464
1640000,0.6668807,11813.189397248354,110.81818181818181,2733.603,11813.189390182495,1803210.2,0.1292534,0.00025094667
1650000,0.66239923,13831.21377158165,126.8974358974359,2799.5544,13821.897870051396,1831778.5,0.13579427,0.00025064714
1660000,0.6597099,12575.370946846813,118.12048192771084,2795.306,12529.634399414062,1701138.8,0.14052688,0.0002503498
1670000,0.6562975,12117.315049889323,106.85714285714286,2785.919,12185.00374740103,2010777.4,0.1406509,0.00025005286
1680000,0.64851373,10866.196917975942,101.4375,2785.4563,10866.1969323953,1813308.6,0.13717343,0.0002497517
1690000,0.64688236,12609.725967878583,113.05747126436782,2832.8994,12609.726007746554,1926977.5,0.13555335,0.00024944695
1700000,0.64932543,13589.029128515347,121.8875,2858.6873,13589.029135608673,1946307.0,0.13268816,0.00024914907
1710000,0.64281714,12590.852797407482,115.65882352941176,2859.7498,12590.852721180636,1906303.0,0.13143659,0.00024884826
1720000,0.63284534,12002.7018488468,103.73404255319149,2867.0957,12002.701895531187,2079090.1,0.1339962,0.00024854887
1730000,0.6258083,11827.985541192435,105.61290322580645,2885.0754,11827.985515717537,1970172.2,0.13511217,0.00024824974
1740000,0.62400806,11944.472617331372,104.72043010752688,2908.338,11944.472528683242,2008565.4,0.12975635,0.00024794906
1750000,0.6174361,12595.691181445602,113.3103448275862,2897.986,12569.517987007319,1945570.6,0.13212565,0.00024764967
1760000,0.61810106,13008.782653774124,117.42168674698796,2950.825,13030.661229269845,1887403.2,0.1282693,0.0002473464
1770000,0.621407,13608.024574097291,119.91358024691358,2995.0786,13608.024624859845,1997389.1,0.13802248,0.00024704818
1780000,0.6239408,13209.684917733828,124.63291139240506,2988.488,13209.684849896008,1696352.4,0.13166465,0.00024675138
1790000,0.6168444,14127.23103330407,123.29113924050633,3024.759,14127.23106229758,1986639.2,0.12910078,0.00024645097
1800000,0.625606,13235.047890952155,121.54320987654322,3023.556,13235.047856648764,1858299.9,0.13009316,0.00024615042
1810000,0.6309713,12991.742768843034,115.29411764705883,3045.1104,12991.742847128475,1855547.2,0.13783413,0.00024585036
1820000,0.6189146,12731.021407189823,115.63095238095238,3064.623,12731.021395002093,1806877.5,0.13326623,0.00024555196
1830000,0.61351347,12860.464793327243,115.17441860465117,3080.6377,12993.601593466366,1884102.2,0.13541287,0.00024525184
1840000,0.61197627,13329.001205754568,117.60240963855422,3106.7778,13188.701597032094,1906679.1,0.13787755,0.0002449498
1850000,0.6035598,13456.30428512008,120.11111111111111,3140.7395,13456.304326846275,1861465.8,0.13833001,0.00024464866
1860000,0.60192883,12086.1949439613,110.61797752808988,3129.8389,12086.195024211755,1878630.4,0.13634816,0.0002443499
1870000,0.6183701,12016.307917645065,119.2560975609756,3169.315,12016.307895474318,1592000.9,0.1311411,0.00024404738
1880000,0.61875224,12798.954830551147,121.65,3157.603,12798.954778671265,1614420.0,0.13064018,0.00024374826
1890000,0.6200162,13657.130082019752,129.46052631578948,3182.1313,13657.130044033653,1658317.6,0.13639872,0.00024345037
1900000,0.61921793,12420.921032023156,112.59770114942529,3196.1936,12420.921123899263,1863520.1,0.13167974,0.00024314961
1910000,0.613823,12700.761469755644,119.91358024691358,3245.982,12700.761475928035,1590546.6,0.13128588,0.00024284846
1920000,0.6160893,12998.300019926495,121.64197530864197,3261.9558,12998.300040303924,1589402.5,0.13100329,0.00024255116
1930000,0.62373877,13112.491005755961,121.6875,3252.3154,13112.491021871567,1737958.8,0.13365133,0.00024225253
1940000,0.6233894,13518.52718513525,124.46835443037975,3286.231,13518.527187975147,1682575.5,0.14111239,0.00024195328
1950000,0.6113529,12664.010029040905,117.48192771084338,3273.6057,12664.010040007443,1745651.4,0.13385193,0.000241652
1960000,0.6098196,14181.895881211316,120.93827160493827,3321.3105,14181.895890600887,1935316.6,0.13431236,0.00024135137
1970000,0.59376746,12511.010036418726,107.68131868131869,3317.5579,12511.010092347533,2147142.8,0.13784848,0.0002410531
1980000,0.5981112,11600.12013189594,108.12222222222222,3338.6245,11600.120132234362,1803798.8,0.12864423,0.00024075173
